name,address,source,rating,reviews,positive_words,negative_words,prices,price,services,lat,lon
"Теплота и забота, пансионат для пожилых людей","Шипиловская улица, 1",2GIS,0.0,0.0,0,0,False,,,55.618212,37.697327
"Вековие, пансионат для пожилых","Амбулаторная улица, 80",2GIS,0.0,0.0,0,0,False,,,55.713502,37.375124
"Ангел, пансионат для пожилых людей","7-я Верхняя линия, 28",2GIS,0.0,0.0,0,0,False,,,55.769442,37.889974
"Дом Заботы, офис","Фармацевтический проезд, 3",2GIS,0.0,0.0,0,0,False,,,55.833708,37.517023
Комплексный центр социального обслуживания и реабилитации Одинцовский,"территория Больницы, ст2",2GIS,0.0,0.0,0,0,False,,,55.736002,37.336546
Свято-Спиридоньевская богадельня,"набережная Шитова, 4 к1",2GIS,0.0,0.0,0,0,False,,,55.800509,37.731195
"Люблино, геронтологический центр","Ставропольская улица, 27а",2GIS,0.0,0.0,0,0,False,,,55.684945,37.766255
Теплые Деньки,"Новая ул., 9, д. Пуговичино",Yandex,0.0,0.0,7,1,False,,,,
Пансионат для пожилых в Малаховке TG-group,"Моновский пр., 1, п. г. т. Малаховка",Yandex,0.0,0.0,0,0,False,,,55.641308,38.006239
"Четыре сезона, частный дом престарелых","улица Ноздрюхина, 22",2GIS,0.0,0.0,0,0,False,,,55.736133,37.351364
"Линия жизни, пансионат для пожилых людей","Московская улица, 17",2GIS,0.0,0.0,0,0,False,,,55.723702,37.362498
Услада жизни,"Солнечная улица, 6",2GIS,0.0,0.0,0,0,False,,,56.006112,37.804296
"Аппассионата, пансионат для пожилых","улица Семашко, 6",2GIS,0.0,0.0,0,0,False,,,55.926013,37.936048
"Вторая молодость, Офис","Игарский проезд, 11",2GIS,0.0,0.0,0,0,False,,,55.857793,37.64091
"Коньково, геронтологический центр","Профсоюзная улица, 140 к6",2GIS,0.0,0.0,0,0,False,,,55.630299,37.504717
"Югозападный, геронтологический центр","улица Островитянова, 16 к5",2GIS,0.0,0.0,0,0,True,173.0,"Индивидуальная психологическая диагностика 1 час. 00 мин. | Курс процедуры релаксации в сенсорной комнате 0 час. 30 мин. 1 час. 00 мин. | Индивидуальная психологическая консультация 1 час. 00 мин. | Стрижка волос 1 час. 00 мин. | Массажа (оздоровительный, стимулирующий, местный) 0 час.30 мин. 1 час. 00 мин. | Бальнеотерапия - Жемчужная ванна - Сидячая ванна - Скипидарная ванна - Арома-ванна 0 час.30 мин. | Водолечение | Проведение психокоррекционной работы 1 час. 00 мин. | Услуга педикюра (без покрытия) 1 час. 00 мин. | Сеанс лечебной сауны с медицинским сопровождением (индивидуальное посещение) 1 час. 00 мин. | Лечебно-физкультурный комплекс с инструктором, в том числе в бассейне 0 час. 30 мин. 1 час. 00 мин. | Услуга маникюра (без покрытия) 1 час. 00 мин. | Проведение оздоровительного комплекса «Горный воздух», «Соляная пещера» 0 час.30 мин. | Солярий 0 час.10 мин.",55.633488,37.506691
"Вторая молодость, центр для пожилых людей","Игарский проезд, 9 к1",2GIS,0.0,0.0,0,0,False,,,55.85764,37.641663
"Левобережный, геронтологический центр","Правобережная улица, 4 к1",2GIS,0.0,0.0,0,0,False,,,55.879481,37.454747
Академия Долголетия,"Флотская ул., 76, корп. 2",Yandex,0.0,0.0,0,0,True,3250.0,Осмотр врача-психиатра | Осмотр врача-гериатра | Клубный дом для людей пожилого возраста | Соляная комната,,
Дом престарелых в Троицке,"Москва, Троицк, жилой комплекс Академик",Yandex,0.0,0.0,0,0,False,,,55.492269,37.314798
Осень жизни,"Зелёная ул., 6, п. г. т. Лесной Городок",Yandex,0.0,0.0,0,0,False,,,55.644324,37.209325
"Добрые сердца, пансионат","д. Толмачёво, 21",Yandex,0.0,0.0,0,0,False,,,,
Альфа-Омега Групп,"ул. А.И. Нестеренко, 11, микрорайон Юбилейный, Королёв",Yandex,0.0,0.0,0,0,False,,,55.9339,37.856213
Пансионат Большая семья Пушкино 2,"Речная ул., 7А, Пушкино",Yandex,0.0,0.0,0,0,False,,,56.007609,37.81656
Большая семья,"Московская область, Пушкино, микрорайон Клязьма, квартал Спасский",Yandex,0.0,0.0,0,0,False,,,,
Светлица. Благополучие,"Надсоновская ул., 24, Пушкино",Yandex,0.0,0.0,0,0,True,990.0,Реабилитация пожилых после переломов | Реабилитация пожилых после травм | Пансионат для больных сахарным диабетом | Пансионат для онкологических больных | Пансионат для слабовидящих | Пансионат для пожилых с заболеваниями опорно-двигательного аппарата | Пансионат для пожилых с переломом шейки бедра | Пансионат для пожилых после инфаркта | Пансионат для пожилых после инсульта | Пансионат для пожилых с болезнями сердца | Пансионат для лежачих больных | Пансионат для пожилых с альцгеймером | Пансионат для пожилых с паркинсоном | Пансионат для пожилых с деменцией | Уход за пожилыми в послеоперационный период | Восстановление пожилых после КОВИД-19 COVID-19 | Восстановление пожилых после инфаркта | Восстановление пожилых после инсульта | Восстановление после операции в доме престарелых | Реабилитация пожилых после перелома шейки бедра | 1-местная палата | 2-местная палата | 3-местная палата | Пансионат для инвалидов | Пансионат с паллиативной помощью | Пансионат для инвалидов-колясочников | Перевозка лежачих больных в дом престарелых,56.003574,37.852955
Все пансионаты,"ул. Барклая, 6, стр. 25",Yandex,0.0,0.0,1,0,False,,,,
Река жизни,"Ильинское ш., 1А, Красногорск",Yandex,0.0,0.0,0,0,False,,,55.815277,37.353018
Пансионат Круг Семьи,"Дмитровское ш., 49, д. Красная Горка",Yandex,0.0,0.0,0,0,False,,,55.993824,37.532696
МедСервис Плюс,"Ленинский просп., 42, корп. 2",Yandex,0.0,0.0,0,0,False,,,,
Патриаршее подворье,"ул. Верхняя Слобода, 96, село Остров",Yandex,0.0,0.0,0,0,False,,,55.588769,37.853301
Стационарное отделение Дом-интернат малой вместимости для граждан пожилого возраста и инвалидов,"Школьная ул., 29, Ивантеевка",Yandex,0.0,0.0,0,0,False,,,55.966354,37.939325
Частный дом престарелых,"Первомайская ул., 34, Лыткарино",Yandex,0.0,0.0,0,0,False,,,55.586033,37.901377
Центр домашней заботы,"ул. Мира, 16/9, Мытищи",Yandex,0.0,0.0,0,0,False,,,55.914119,37.73065
GreenDay,"Чистопрудная ул., 151, д. Новинки",Yandex,0.0,0.0,0,0,False,,,,
Добрый Дом,"Менделеевская ул., 14, микрорайон Клязьма, Пушкино",Yandex,0.0,0.0,0,0,True,1800.0,"Проживание в доме для престарелых по программе ""Свой дом"" | Проживание в доме для престарелых по программе ""Care""",55.973849,37.830276
ГБУ Комплекс социальных жилых домов Департамента труда и социальной защиты населения города Москвы,"Пятницкое ш., 31, корп. 2, подъезд 1",Yandex,0.0,0.0,2,1,False,,,,
Пансионат для пожилых Климовск,"Большая Серпуховская ул., 199Д, посёлок Железнодорожный",Yandex,0.0,0.0,0,0,True,1800.0,Палаты с многофункциональными кроватями для маломобильных постояльцев,55.390408,37.550275
Пансионат Раменское,,Bookpansion,4.8,25.0,,,True,1300.0,реабилитация | альцгеймер | сиделка | круглосуточный уход | диетолог | 5-разовое питание | прогулки | инсульт | перелом,,
Пансионат Ховрино,,Bookpansion,5.0,18.0,,,True,1040.0,реабилитация | альцгеймер | круглосуточный уход | 5-разовое питание | прогулки | восстановление | инсульт | перелом,,
Пансионат Life Pension в Истре,,Bookpansion,0.0,0.0,,,True,1600.0,реабилитация | круглосуточный уход | психолог | 5-разовое питание | прогулки | восстановление | инсульт,,
Пансионат Life Pension Химки,,Bookpansion,0.0,0.0,,,True,1600.0,реабилитация | альцгеймер | круглосуточный уход | психолог | 5-разовое питание | прогулки | инсульт | перелом,,
Частный пансионат «Благо-Дать»,,Bookpansion,0.0,0.0,,,True,1200.0,альцгеймер | круглосуточный уход | 5-разовое питание | прогулки | инсульт,,
Пансионат Десна,,Bookpansion,4.8,15.0,,,True,900.0,деменция | альцгеймер | круглосуточный уход | 5-разовое питание | прогулки | инсульт,,
Реабилитационно-восстановительный центр «Доброта» Нагатино,,Bookpansion,4.7,15.0,,,True,5000.0,реабилитация | альцгеймер | круглосуточный уход | лфк | массаж | психолог | 5-разовое питание | прогулки | восстановление | инсульт | перелом | капельницы,,
Пансионат «Вместе» г. Видное,,Bookpansion,4.7,14.0,,,True,2000.0,альцгеймер | круглосуточный уход | 5-разовое питание | прогулки | инсульт,,
Пансионат Щелково Краснознаменское,,Bookpansion,4.8,13.0,,,True,1040.0,реабилитация | альцгеймер | сиделка | круглосуточный уход | лфк | 5-разовое питание | прогулки | восстановление | инсульт | перелом,,
Пансионат Федоскино,,Bookpansion,4.8,12.0,,,True,1040.0,реабилитация | альцгеймер | круглосуточный уход | диетолог | 5-разовое питание | прогулки | инсульт | перелом,,
Пансионат «Стар-че»,,Bookpansion,4.7,10.0,,,True,1200.0,реабилитация | альцгеймер | круглосуточный уход | лфк | 5-разовое питание | прогулки | инсульт | перелом,,
Пансионат с реабилитацией «Доброта» в Кратово,,Bookpansion,4.9,7.0,,,True,2500.0,реабилитация | альцгеймер | медицинский уход | круглосуточный уход | лфк | психолог | 5-разовое питание | прогулки | восстановление | инсульт | перелом,,
Пансионат Река жизни в Вялках,,Bookpansion,4.0,5.0,,,True,1000.0,реабилитация | деменция | альцгеймер | круглосуточный уход | психолог | 5-разовое питание | прогулки | перелом,,
Пансионат для пожилых Пушкино,,Bookpansion,4.8,4.0,,,True,1300.0,круглосуточный уход | 5-разовое питание | прогулки | инсульт,,
Пансионат  Мытищи,,Bookpansion,4.5,1.0,,,True,1300.0,реабилитация | альцгеймер | круглосуточный уход | психолог | 5-разовое питание | прогулки | восстановление | инсульт,,
